id,A,B,C,D,E,F,G,H,I
0808615970,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.74,0.25
0339116889,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.98,0.00
0055915537,0.02,0.00,0.01,0.35,0.14,0.20,0.16,0.08,0.04
0964920155,0.07,0.73,0.00,0.00,0.00,0.00,0.00,0.19,0.00
1898705086,0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00
1604356882,0.27,0.06,0.19,0.00,0.00,0.02,0.09,0.36,0.01
1166619724,0.00,0.51,0.00,0.08,0.02,0.01,0.10,0.03,0.24
1355831497,0.00,0.00,0.00,0.00,0.03,0.00,0.96,0.00,0.01
1062717107,0.23,0.42,0.32,0.00,0.00,0.00,0.01,0.00,0.00
1183764434,0.02,0.00,0.23,0.00,0.00,0.01,0.01,0.71,0.00
0963030643,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
0176707648,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
0969323921,0.02,0.66,0.01,0.00,0.00,0.00,0.03,0.26,0.02
0056849993,0.00,0.00,0.19,0.00,0.01,0.03,0.67,0.08,0.00
0024760818,0.00,0.00,0.04,0.00,0.01,0.00,0.95,0.00,0.00
1766671399,0.00,0.00,0.00,0.00,0.01,0.00,0.99,0.00,0.00
1104580110,0.95,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.01
1423746142,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1234901182,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
0440154164,0.55,0.00,0.14,0.01,0.00,0.16,0.10,0.03,0.00
0142768069,0.00,0.00,0.01,0.00,0.01,0.04,0.92,0.00,0.02
1424769214,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.97
1694987523,0.00,0.00,0.65,0.00,0.01,0.00,0.01,0.10,0.22
0797301837,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
0016684364,0.00,0.00,0.01,0.92,0.00,0.00,0.00,0.00,0.06
1357839407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.02
0811380276,0.00,0.00,0.02,0.24,0.00,0.72,0.01,0.00,0.01
0192024218,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99
2143433138,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00
1226149838,0.00,0.63,0.18,0.00,0.00,0.00,0.17,0.00,0.01
0310652082,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
1957246475,0.00,0.00,0.10,0.00,0.00,0.89,0.00,0.00,0.00
0955296533,0.00,0.00,0.71,0.01,0.04,0.18,0.06,0.00,0.00
0510889716,0.00,0.04,0.01,0.00,0.06,0.00,0.68,0.20,0.00
1307492882,0.00,0.00,0.00,0.21,0.00,0.62,0.09,0.00,0.07
1500391153,0.02,0.06,0.10,0.05,0.02,0.02,0.03,0.67,0.02
1325886515,0.01,0.00,0.00,0.00,0.00,0.05,0.93,0.00,0.01
1946093474,0.57,0.01,0.31,0.02,0.03,0.01,0.00,0.05,0.01
1153972074,0.00,0.00,0.01,0.00,0.07,0.01,0.90,0.01,0.00
1168589651,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
0918192299,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1095711374,0.00,0.00,0.58,0.03,0.01,0.00,0.26,0.07,0.05
0985587616,0.00,0.00,0.01,0.00,0.00,0.07,0.92,0.00,0.00
0542850317,0.01,0.02,0.95,0.00,0.00,0.00,0.00,0.00,0.01
1446252095,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
0645050320,0.07,0.08,0.05,0.45,0.02,0.01,0.04,0.25,0.03
0934129419,0.02,0.01,0.46,0.00,0.02,0.01,0.02,0.46,0.01
1173247530,0.00,0.02,0.45,0.00,0.00,0.00,0.00,0.52,0.00
0926627999,0.13,0.01,0.85,0.00,0.00,0.00,0.00,0.00,0.00
1833593439,0.00,0.00,0.01,0.00,0.00,0.00,0.99,0.00,0.00
1393440881,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00
1282776333,0.00,0.00,0.00,0.00,0.00,0.99,0.01,0.00,0.00
0871414641,0.00,0.00,0.13,0.00,0.05,0.00,0.01,0.60,0.21
0007609427,0.00,0.00,0.96,0.00,0.02,0.00,0.00,0.01,0.00
1510312180,0.00,0.00,0.80,0.00,0.01,0.00,0.16,0.00,0.02
1792999999,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1633311076,0.18,0.00,0.32,0.00,0.00,0.36,0.00,0.01,0.12
1572942559,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
0894749840,0.01,0.02,0.02,0.00,0.01,0.01,0.81,0.00,0.13
1921014961,0.04,0.02,0.83,0.00,0.00,0.00,0.01,0.08,0.02
2128601895,0.01,0.05,0.01,0.00,0.01,0.00,0.02,0.72,0.18
1732863728,0.00,0.00,0.98,0.00,0.00,0.01,0.00,0.00,0.00
0799467819,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.29,0.00
0360730139,0.02,0.08,0.22,0.00,0.03,0.00,0.07,0.34,0.22
0711923797,0.01,0.08,0.37,0.00,0.04,0.00,0.06,0.08,0.36
0459036271,0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00
0096129644,0.51,0.05,0.15,0.00,0.01,0.00,0.00,0.27,0.00
0959117489,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.13,0.00
0152790299,0.00,0.00,0.83,0.00,0.00,0.00,0.00,0.17,0.00
1741034531,0.00,0.00,0.95,0.00,0.00,0.00,0.00,0.04,0.00
2085044719,0.00,0.00,0.00,0.00,0.01,0.00,0.99,0.00,0.00
0266956533,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1009672668,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
1226353326,0.00,0.00,0.00,0.80,0.00,0.00,0.01,0.00,0.19
0179722784,0.98,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
0154640483,0.08,0.00,0.36,0.00,0.00,0.01,0.05,0.07,0.41
0188552589,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
0557143134,0.00,0.00,0.96,0.00,0.00,0.00,0.00,0.02,0.02
1381819315,0.00,0.00,0.10,0.03,0.11,0.08,0.67,0.00,0.00
0630785959,0.05,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.01
1314688315,0.01,0.00,0.19,0.00,0.00,0.03,0.76,0.01,0.00
0647332236,0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00
0716509757,0.00,0.00,0.06,0.00,0.03,0.00,0.90,0.00,0.00
1949175359,0.00,0.00,0.97,0.00,0.00,0.01,0.00,0.02,0.00
0164977150,0.00,0.01,0.39,0.00,0.02,0.00,0.00,0.00,0.58
1532853746,0.01,0.58,0.00,0.00,0.00,0.00,0.01,0.40,0.00
1889103843,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
1491401170,0.00,0.00,0.30,0.00,0.01,0.37,0.32,0.00,0.00
0656499884,0.04,0.00,0.95,0.00,0.00,0.00,0.00,0.00,0.00
1350449380,0.00,0.00,0.96,0.00,0.00,0.00,0.00,0.03,0.00
1376687955,0.36,0.04,0.40,0.00,0.01,0.01,0.03,0.03,0.11
0803155107,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
0003493776,0.84,0.00,0.06,0.00,0.03,0.00,0.05,0.00,0.02
2097648618,0.02,0.06,0.07,0.02,0.01,0.07,0.73,0.01,0.00
0699279614,0.57,0.00,0.17,0.00,0.05,0.00,0.01,0.01,0.17
0794053444,0.00,0.00,0.00,0.00,0.00,0.02,0.98,0.00,0.00
0669417368,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
0593672799,0.15,0.00,0.04,0.00,0.00,0.00,0.74,0.01,0.05
0398780390,0.00,0.00,0.01,0.00,0.00,0.07,0.91,0.00,0.00
0418110621,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.97,0.00
1170468402,0.00,0.00,0.40,0.00,0.04,0.03,0.52,0.00,0.00
1541280047,0.00,0.00,0.09,0.00,0.06,0.01,0.83,0.01,0.00
0763780353,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99
1220003663,0.80,0.00,0.15,0.00,0.00,0.00,0.00,0.01,0.03
0014493343,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
0021997148,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
0328151279,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00
1957096326,0.00,0.01,0.82,0.00,0.00,0.05,0.00,0.12,0.00
1211979332,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
1178105110,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
0709056068,0.00,0.02,0.46,0.35,0.01,0.00,0.05,0.06,0.03
0035364629,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
1078241593,0.00,0.00,0.65,0.00,0.02,0.09,0.24,0.00,0.00
0658813557,0.00,0.00,0.00,0.00,0.00,0.61,0.38,0.00,0.00
1129543212,0.17,0.21,0.04,0.01,0.01,0.02,0.54,0.01,0.00
1325784688,0.00,0.00,0.00,0.98,0.00,0.01,0.00,0.00,0.01
0747766576,0.01,0.00,0.33,0.00,0.00,0.01,0.00,0.65,0.00
2037852951,0.00,0.00,0.21,0.00,0.00,0.50,0.00,0.00,0.27
1129216223,0.00,0.00,0.57,0.00,0.02,0.14,0.23,0.03,0.00
1181655056,0.36,0.02,0.00,0.00,0.00,0.00,0.61,0.00,0.00
0104250471,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.03,0.91
1412338318,0.00,0.04,0.00,0.00,0.06,0.00,0.02,0.81,0.07
0172977016,0.01,0.02,0.05,0.00,0.00,0.02,0.87,0.00,0.03
2014775085,0.00,0.76,0.06,0.00,0.01,0.00,0.01,0.14,0.01
0121088667,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.64,0.25
0142924424,0.00,0.09,0.00,0.00,0.00,0.00,0.88,0.02,0.00
0396225390,0.00,0.01,0.35,0.00,0.00,0.01,0.03,0.60,0.00
2086577155,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
1833154146,0.00,0.00,0.84,0.00,0.00,0.00,0.13,0.02,0.00
0240774997,0.19,0.72,0.01,0.00,0.00,0.00,0.02,0.05,0.01
0921586330,0.00,0.00,0.23,0.00,0.02,0.11,0.64,0.00,0.00
0268302733,0.00,0.01,0.15,0.03,0.01,0.05,0.03,0.72,0.00
2012159230,0.09,0.00,0.88,0.00,0.00,0.02,0.01,0.00,0.00
0825257877,0.00,0.00,0.99,0.00,0.01,0.00,0.00,0.00,0.00
0363159054,0.00,0.00,0.03,0.56,0.01,0.02,0.00,0.04,0.34
0385229219,0.01,0.00,0.46,0.01,0.00,0.48,0.00,0.03,0.00
1099473163,0.00,0.00,0.04,0.00,0.01,0.05,0.90,0.00,0.00
1519224819,0.99,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
0805825560,0.01,0.00,0.02,0.00,0.00,0.06,0.03,0.12,0.74
1847392264,0.03,0.85,0.10,0.00,0.00,0.01,0.00,0.00,0.00
0938737117,0.35,0.00,0.38,0.26,0.00,0.00,0.00,0.00,0.01
0155745293,0.97,0.00,0.02,0.00,0.00,0.01,0.00,0.00,0.00
0130294065,0.49,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1006685723,0.00,0.01,0.41,0.00,0.00,0.01,0.00,0.56,0.00
1185059033,0.00,0.00,0.62,0.00,0.05,0.05,0.27,0.00,0.00
0055605620,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0603151711,0.03,0.00,0.41,0.00,0.00,0.41,0.14,0.00,0.00
0267638337,0.00,0.15,0.70,0.00,0.00,0.00,0.00,0.15,0.00
2071553490,0.61,0.05,0.01,0.06,0.01,0.08,0.12,0.04,0.01
1908183663,0.00,0.00,0.98,0.00,0.00,0.00,0.00,0.00,0.01
1243835160,0.00,0.00,0.98,0.00,0.00,0.00,0.00,0.02,0.00
1255524736,0.93,0.00,0.01,0.01,0.00,0.02,0.01,0.01,0.00
2143409563,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
1662729265,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00
0513025298,0.00,0.00,0.00,0.00,0.00,0.12,0.87,0.00,0.00
1029743814,0.00,0.01,0.00,0.00,0.01,0.96,0.01,0.01,0.00
1033024460,0.00,0.03,0.08,0.01,0.14,0.00,0.71,0.02,0.00
1067176609,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
1470407522,0.00,0.00,0.44,0.00,0.00,0.05,0.50,0.00,0.00
0397001335,0.00,0.00,0.48,0.01,0.01,0.10,0.00,0.00,0.39
0799070008,0.00,0.00,0.98,0.00,0.00,0.00,0.01,0.00,0.00
1510213582,0.00,0.00,0.09,0.00,0.02,0.23,0.01,0.00,0.65
0554076325,0.00,0.21,0.00,0.03,0.00,0.00,0.72,0.00,0.03
1300137890,0.00,0.00,0.05,0.43,0.01,0.02,0.01,0.44,0.03
1932915408,0.00,0.00,0.02,0.00,0.04,0.00,0.01,0.00,0.94
1657081147,0.00,0.00,0.15,0.00,0.01,0.02,0.67,0.14,0.00
1833663848,0.00,0.00,0.37,0.01,0.08,0.40,0.01,0.12,0.00
1679682539,0.00,0.32,0.01,0.00,0.01,0.32,0.25,0.09,0.00
0654371093,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
1459978183,0.20,0.00,0.77,0.00,0.00,0.00,0.01,0.01,0.00
0949495848,0.02,0.02,0.06,0.01,0.01,0.00,0.00,0.78,0.09
1868134841,0.00,0.00,0.63,0.00,0.00,0.16,0.21,0.00,0.00
1763595951,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1592884712,0.15,0.00,0.80,0.00,0.00,0.02,0.00,0.01,0.02
2112672469,0.00,0.00,0.00,0.03,0.00,0.97,0.01,0.00,0.00
1533745921,0.00,0.00,0.00,0.34,0.00,0.00,0.00,0.00,0.65
0047300991,0.01,0.41,0.39,0.00,0.00,0.00,0.00,0.18,0.01
0773246686,0.01,0.00,0.93,0.00,0.00,0.01,0.00,0.04,0.02
0225614072,0.01,0.00,0.39,0.00,0.00,0.00,0.00,0.59,0.00
0615830981,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,0.03
1620803557,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
0354956128,0.33,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.66
1141336801,0.13,0.01,0.51,0.00,0.00,0.00,0.00,0.33,0.01
1015737504,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
0958642019,0.00,0.00,0.04,0.00,0.01,0.74,0.20,0.00,0.01
0903184689,0.00,0.00,0.00,0.00,0.00,0.01,0.99,0.00,0.00
2098088128,0.03,0.00,0.20,0.00,0.00,0.01,0.00,0.66,0.10
0006989538,0.00,0.01,0.00,0.00,0.00,0.00,0.05,0.00,0.93
2058614468,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
1936598257,0.00,0.01,0.98,0.00,0.00,0.00,0.00,0.01,0.00
0885172080,0.87,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0931213410,0.00,0.11,0.14,0.00,0.35,0.13,0.02,0.24,0.01
1987645157,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
0166290085,0.83,0.00,0.12,0.00,0.00,0.00,0.00,0.03,0.00
0082475207,0.00,0.00,0.95,0.00,0.00,0.04,0.00,0.00,0.00
0696617436,0.00,0.00,0.98,0.00,0.02,0.00,0.00,0.00,0.00
2044780937,0.00,0.00,0.00,0.00,0.04,0.00,0.94,0.00,0.01
0636683491,0.98,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00
1131757894,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.01
0705460846,0.00,0.00,0.34,0.00,0.02,0.02,0.03,0.59,0.00
0810039023,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1134871600,0.32,0.00,0.05,0.01,0.00,0.08,0.53,0.00,0.01
1364235122,0.95,0.02,0.00,0.00,0.00,0.00,0.02,0.00,0.00
0845080815,0.00,0.03,0.00,0.00,0.00,0.06,0.01,0.89,0.01
1629028726,0.00,0.00,0.10,0.00,0.00,0.88,0.00,0.00,0.01
0426663300,0.04,0.02,0.23,0.00,0.00,0.10,0.00,0.57,0.03
1003989484,0.00,0.01,0.05,0.00,0.00,0.00,0.04,0.00,0.89
1440646526,0.03,0.03,0.10,0.00,0.04,0.50,0.12,0.15,0.01
2043798288,0.00,0.61,0.30,0.00,0.00,0.00,0.01,0.05,0.02
0088394300,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.95,0.04
1038716768,0.00,0.00,0.00,0.00,0.00,0.01,0.99,0.00,0.00
1981823319,0.00,0.00,0.06,0.00,0.00,0.93,0.00,0.00,0.00
0839645598,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
1841952109,0.00,0.00,0.01,0.00,0.00,0.00,0.07,0.19,0.73
1499689431,0.56,0.00,0.40,0.00,0.00,0.01,0.00,0.03,0.00
0123149700,0.00,0.04,0.54,0.00,0.02,0.01,0.02,0.35,0.02
0300231843,0.00,0.01,0.92,0.00,0.00,0.00,0.05,0.02,0.00
1196662666,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0772646690,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
0431826864,0.00,0.00,0.39,0.00,0.04,0.03,0.55,0.00,0.00
0377005126,0.07,0.09,0.51,0.00,0.01,0.08,0.05,0.13,0.06
0268200906,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00
0079632919,0.00,0.00,0.01,0.00,0.01,0.00,0.02,0.03,0.93
1829735183,0.01,0.01,0.94,0.00,0.00,0.00,0.00,0.03,0.01
1781691376,0.00,0.01,0.07,0.00,0.07,0.00,0.41,0.00,0.44
0778854550,0.33,0.01,0.56,0.00,0.01,0.01,0.02,0.04,0.02
0965149226,0.00,0.00,0.61,0.00,0.03,0.01,0.01,0.33,0.01
1564725754,0.88,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.01
1104456062,0.01,0.00,0.40,0.00,0.00,0.00,0.00,0.59,0.00
0529912892,0.00,0.00,0.92,0.01,0.00,0.00,0.00,0.04,0.03
0713710570,0.44,0.05,0.00,0.20,0.00,0.00,0.00,0.29,0.00
1820534918,0.00,0.00,0.05,0.00,0.00,0.94,0.00,0.00,0.00
0701117622,0.00,0.00,0.10,0.00,0.01,0.19,0.67,0.02,0.00
1662000972,0.00,0.00,0.31,0.00,0.68,0.00,0.00,0.00,0.00
2079995874,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.83
1119319262,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.05,0.91
0191715258,0.00,0.00,0.10,0.00,0.00,0.03,0.00,0.01,0.84
0599409474,0.00,0.00,0.01,0.00,0.00,0.01,0.97,0.00,0.00
0206083459,0.00,0.01,0.19,0.01,0.15,0.01,0.13,0.06,0.44
1725247344,0.96,0.00,0.03,0.00,0.00,0.00,0.00,0.01,0.00
0841243456,0.01,0.02,0.01,0.05,0.01,0.15,0.74,0.02,0.00
1657354173,0.70,0.00,0.01,0.00,0.00,0.00,0.00,0.28,0.00
1618693230,0.00,0.01,0.30,0.00,0.09,0.03,0.56,0.02,0.00
0758953230,0.72,0.00,0.07,0.04,0.09,0.03,0.01,0.03,0.00
1433520558,0.00,0.16,0.55,0.00,0.00,0.00,0.22,0.00,0.05
0182759467,0.61,0.05,0.31,0.00,0.00,0.00,0.00,0.01,0.02
1389050511,0.04,0.71,0.08,0.00,0.01,0.00,0.14,0.00,0.01
0229704668,0.00,0.00,0.01,0.00,0.00,0.98,0.01,0.00,0.00
0127089727,0.01,0.00,0.01,0.02,0.09,0.01,0.72,0.13,0.01
1669908115,0.00,0.29,0.32,0.00,0.01,0.00,0.01,0.32,0.03
0310224254,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.96
1628408837,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
0078967548,0.00,0.01,0.00,0.00,0.99,0.00,0.00,0.00,0.00
0881753278,0.00,0.00,0.75,0.00,0.00,0.24,0.00,0.00,0.00
1923686586,0.00,0.00,0.04,0.00,0.00,0.01,0.00,0.93,0.00
0436256590,0.02,0.05,0.84,0.00,0.00,0.00,0.09,0.00,0.00
0823406504,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.97
1936967712,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.90
0139757461,0.12,0.43,0.05,0.04,0.00,0.14,0.05,0.00,0.15
1876227542,0.00,0.00,0.95,0.00,0.03,0.02,0.00,0.00,0.00
0708041369,0.00,0.00,0.97,0.00,0.00,0.00,0.00,0.03,0.00
1647254300,0.00,0.00,0.02,0.01,0.00,0.00,0.01,0.92,0.02
1307873906,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1751759700,0.00,0.00,0.97,0.00,0.01,0.00,0.00,0.01,0.01
1221588920,0.09,0.10,0.64,0.00,0.00,0.02,0.05,0.01,0.09
1460853543,0.87,0.00,0.01,0.00,0.00,0.00,0.00,0.10,0.02
1693471498,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1197115926,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.83,0.14
0619559396,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
2018008230,0.00,0.00,0.00,0.00,0.00,0.05,0.94,0.00,0.00
1787086735,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1961284482,0.97,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01
2099409412,0.20,0.01,0.23,0.00,0.00,0.01,0.06,0.02,0.46
0013554764,0.00,0.00,0.74,0.00,0.00,0.00,0.00,0.25,0.00
0941206232,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1403948979,0.00,0.00,0.37,0.00,0.05,0.01,0.58,0.00,0.00
0232837941,0.00,0.00,0.71,0.00,0.00,0.28,0.00,0.00,0.00
0904187364,0.00,0.01,0.08,0.00,0.00,0.04,0.85,0.00,0.01
1419642957,0.00,0.00,0.95,0.00,0.02,0.02,0.01,0.00,0.00
1384521942,0.01,0.87,0.01,0.01,0.00,0.00,0.00,0.00,0.09
1018375299,0.81,0.00,0.10,0.00,0.01,0.00,0.05,0.00,0.01
1172604578,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39
1407038579,0.00,0.01,0.90,0.00,0.02,0.00,0.00,0.06,0.00
0874234292,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2129097906,0.00,0.00,0.04,0.84,0.01,0.02,0.07,0.00,0.02
1213418301,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
0936982731,0.00,0.06,0.01,0.01,0.03,0.39,0.29,0.04,0.17
1166911597,0.00,0.01,0.03,0.00,0.00,0.88,0.04,0.01,0.02
0598688110,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.02
0307480557,0.71,0.02,0.00,0.00,0.01,0.00,0.02,0.23,0.01
0017216368,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
0689658359,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0855620423,0.04,0.02,0.69,0.00,0.01,0.05,0.08,0.10,0.01
1622242526,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
0296422692,0.01,0.03,0.27,0.00,0.00,0.02,0.00,0.66,0.02
2097213934,0.00,0.00,0.08,0.00,0.00,0.31,0.59,0.00,0.00
1940183245,0.00,0.03,0.81,0.00,0.00,0.00,0.01,0.12,0.03
1846528464,0.00,0.02,0.00,0.17,0.00,0.69,0.05,0.04,0.03
1793101624,0.92,0.00,0.04,0.00,0.00,0.00,0.00,0.02,0.01
1924644660,0.00,0.02,0.98,0.00,0.00,0.00,0.00,0.00,0.00
0448707017,0.00,0.00,0.96,0.00,0.00,0.04,0.00,0.00,0.00
1007727524,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
0052285838,0.00,0.00,0.94,0.01,0.04,0.00,0.00,0.00,0.01
0455906122,0.07,0.17,0.00,0.00,0.00,0.29,0.01,0.00,0.44
1412973730,0.00,0.02,0.14,0.00,0.00,0.00,0.00,0.69,0.14
1093035649,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
1384676855,0.00,0.01,0.33,0.00,0.00,0.01,0.12,0.00,0.53
2092373580,0.00,0.00,0.01,0.01,0.19,0.00,0.45,0.05,0.28
0420128196,0.00,0.01,0.00,0.00,0.01,0.00,0.98,0.00,0.00
1283188062,0.00,0.00,0.72,0.00,0.00,0.00,0.00,0.27,0.00
0401210237,0.00,0.03,0.24,0.06,0.13,0.01,0.47,0.06,0.00
